Einstellungen:
Bildgröße: 1024x768
Zoom-Mittelpunkt: Cr=-0,348373087550591, Ci=-0,606503845182302
Zoomfaktor: 0,80
Runden: 100
Iterationen: 1000
Threads: 4
Layers: 2

Round,Time
1,1,9877
2,3,9217
3,5,1798
4,6,4661
5,7,8138
6,9,2761
7,10,8104
8,12,4876
9,14,2759
10,16,2537
11,18,3092
12,20,3542
13,22,5326
14,24,9304
15,27,2286
16,29,3436
17,31,4148
18,33,4854
19,35,5835
20,37,6111
21,39,7323
22,41,8584
23,43,9389
24,45,8846
25,47,6301
26,49,2877
27,50,8063
28,52,2188
29,53,4819
30,54,6916
31,55,8109
32,56,9890
33,58,2487
34,59,5491
35,60,9055
36,62,3241
37,63,7931
38,65,3206
39,66,8644
40,68,2256
41,69,4889
42,70,5969
43,71,6831
44,72,7071
45,73,7944
46,74,7716
47,75,8109
48,76,9130
49,77,9664
50,79,0077
51,80,2233
52,81,4067
53,82,5693
54,83,7863
55,85,0366
56,86,2858
57,87,5409
58,88,8990
59,90,1380
60,91,2800
61,92,4004
62,93,6583
63,94,8413
64,96,0306
65,97,2210
66,98,3806
67,99,6620
68,100,8678
69,102,0847
70,103,2811
71,104,4771
72,105,7894
73,107,0593
74,108,4846
75,109,7903
76,112,0998
77,114,5058
78,116,8791
79,119,0487
80,121,1918
81,123,3960
82,125,4989
83,126,7357
84,128,0055
85,129,3357
86,130,6595
87,132,0152
88,133,3702
89,134,7287
90,136,0384
91,137,3672
92,138,7108
93,139,9975
94,141,3319
95,142,6219
96,143,9203
97,145,3370
98,146,6730
99,148,0012
100,149,2871
