Einstellungen:
Bildgröße: 1024x768
Zoom-Mittelpunkt: Cr=-0,348373087550591, Ci=-0,606503845182302
Zoomfaktor: 0,80
Runden: 50
Iterationen: 1000
Threads: 4
Layers: 2

Round,Time
1,1,4207
2,2,7504
3,3,9593
4,5,2495
5,6,4594
6,7,6837
7,8,9497
8,10,2089
9,11,4479
10,12,7273
11,13,9849
12,15,3358
13,16,6305
14,17,9623
15,19,2493
16,20,5356
17,21,9185
18,23,2382
19,24,4782
20,25,6498
21,26,8336
22,27,9241
23,29,0047
24,30,0071
25,30,9679
26,31,9345
27,32,8736
28,33,8060
29,34,7274
30,35,5951
31,36,4770
32,37,3322
33,38,2442
34,39,1797
35,40,1284
36,41,0457
37,42,0491
38,43,0236
39,44,0814
40,45,1718
41,46,2386
42,47,2764
43,48,2963
44,49,3192
45,50,3739
46,51,3581
47,52,4477
48,53,4729
49,54,5299
50,55,5889
